Fecha,norm_DemandaEnergiakwh,norm_prom_precio_ofertado_hidraulica_ $/kWh,norm_prom_precio_ofertado_termica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_hidraulica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_termica_ $/kWh,norm_enzo,norm_precio_bolsa_ponderado,precio_bolsa_ponderado
2009-04-09,-1.225003173876485,-0.7448738570585597,-0.7449627091968042,-0.5415572981134137,-0.3532575254316004,-0.7136436311683461,-0.42880862758810667,76.023555
2009-04-10,-1.5311226692649473,-0.7764565673521889,-1.0591827398356535,-0.6048944304325602,-0.37353731556818826,-0.7136436311683461,-0.448110594438383,73.398805
2009-04-11,-1.0100809755877023,-0.7898235819161741,-0.8386658752202758,-0.5632192585607684,-0.2585486903936563,-0.7136436311683461,-0.4348093533523987,75.207555
2009-04-12,-1.1576851833742805,-0.7942926438853503,-0.749595465872468,-0.580408885230197,-0.3269127627274318,-0.7136436311683461,-0.44293840027880416,74.10213833
2009-04-13,-0.16264822278541394,-0.751659299124793,0.07352734588965806,-0.46998917607130253,-0.092263248453372,-0.7136436311683461,-0.41208050144555364,78.298305
2009-04-14,0.01474166412493749,-0.763610273828882,-0.7912621362462325,-0.45087093514363186,-0.2220615764207224,-0.7136436311683461,-0.38860094602346873,81.49113833
2009-04-15,0.0289882778094138,-0.7588901409625611,0.0038192513757027333,-0.42946752302867225,-0.12564942508978194,-0.7136436311683461,-0.41117107770431194,78.42197167
2009-04-16,0.029252624909219416,0.3173571604211198,-0.5923281329215913,-0.37485279644381464,-0.28161096438143435,-0.7136436311683461,-0.34746852018816043,87.08447167
2009-04-17,0.052360456314464954,-0.7159514939910758,-0.5450479341255663,-0.4161052237407616,-0.25374614863281103,-0.7136436311683461,-0.41067040442925096,78.490055
2009-04-18,-0.2544102056816495,-0.7767758291049982,-0.5630240595286278,-0.514615438503609,-0.3343298486254716,-0.7136436311683461,-0.44228942472892824,74.19038833
2009-04-19,-0.8701297786272563,0.6849522388476713,1.211511322595443,-0.3623681781571182,-0.057207140430301284,-0.7136436311683461,-0.42727535390936294,76.232055
2009-04-20,-0.0692377670471436,-0.7365393075569434,-0.3673240635307618,-0.4390659323980723,-0.5386882718853759,-0.7136436311683461,-0.37153638213126333,83.81163833
